,DKK2,EMX2,GAD1,TNC,WIF1,ATOH1,EYA1,HHIP,SFRP1,GABRA5,IMPG2,MAB21L2,NPR3,NRL,EOMES,KCNA1,KHDRBS2,RBM24,UNC5D
NMB252,0.806808079,0.764662411,0.84905976,0.981596729,0.874268104,0.053135602,0.255441697,0.434113881,0.396361388,0.428022279,0.643998912,0.176512648,0.183818981,0.473591738,0.377715725,0.538088536,0.106271203,0.308577298,0.352254853
NMB380,0.707636242,0.683319746,0.680963737,0.798590221,0.726098144,0,0,0.327842678,0.317606366,0.367637961,0.65966177,0.685143699,0.159406805,0.415189965,0.376596603,0.471984583,0.149170493,0.249760693,0.356031896
NMB382,0.729644443,0.715446741,0.787234941,0.910465102,0.866115743,0.106271203,0.084217936,0.386621249,0.386125076,0.176512648,0.533131969,0.544907114,0.183818981,0.378818743,0.312577778,0.338741556,0.196625091,0.376030855,0.337812351
NMB436,0.721243911,0.713739263,0.782412892,0.900987853,0.757863998,0,0.183818981,0.390947953,0.225716185,0.390007347,0.542872939,0.670619493,0.123377047,0.449060188,0.443614694,0.348282023,0.137353538,0.176512648,0.384107631
NMB740,0.790630523,0.754275558,0.729101565,1,0.878529435,0,0.053135602,0.260730584,0.359631547,0.352254853,0.474697029,0.500198785,0.106271203,0.41720741,0.34663339,0.508298038,0.123377047,0.321172519,0.290090184
NMB765,0.663815348,0.682584084,0.832444558,0.856069473,0.631553629,0,0.084217936,0.22964825,0.221571474,0.353788074,0.527910973,0.393702446,0.123377047,0.512527865,0.334955183,0.263244202,0.434644392,0.19048914,0.313866186
NMB781,0.559019404,0.663508847,0.739493075,0.873454024,0.715751304,0.123377047,0.233388429,0.38512299,0.243624741,0.246754093,0.622557475,0.053135602,0.084217936,0.482302059,0.255441697,0.288327843,0.053135602,0.299889695,0.196625091
NMB858,0.809705772,0.68416069,0.683226882,0.93965191,0.787722538,0,0.123377047,0.176512648,0.345795584,0.309934121,0.618005421,0.594183253,0.053135602,0.413467231,0.328900053,0.421404501,0,0.286524031,0.315133297
NMB870,0.761637966,0.657871997,0.691154843,0.839847712,0.847967301,0.084217936,0,0.34663339,0.405776644,0.403031547,0.429166457,0.443379184,0.168435872,0.457158863,0.3043565,0.464124052,0.106271203,0.265678009,0.255441697
NMB93,0.751398472,0.748550219,0.787481777,0.961697077,0.79075758,0.053135602,0.159406805,0.3617129,0.484952934,0.426567616,0.623889914,0.612181094,0.240362187,0.441468594,0.440003738,0.437498336,0.196625091,0.448620883,0.415868363
NMB94,0.775839956,0.719321141,0.707786273,0.965926803,0.823684576,0.176512648,0.212542407,0.22964825,0.332989474,0.351476588,0.599533689,0.637233186,0.159406805,0.464124052,0.243624741,0.265678009,0,0.293497788,0.225716185
NMB174,0.415529915,0.249760693,0.34663339,0.531580274,0.360331629,0.613140147,0.741806768,0.759412004,0.745820531,0.212542407,0.344948521,0.159406805,0.106271203,0.225716185,0.249760693,0.137353538,0.053135602,0,0.202306095
NMB240,0.286524031,0.430293808,0.377715725,0.578983179,0.053135602,0.666814786,0.627774949,0.644565166,0.729192312,0.293497788,0.168435872,0,0.123377047,0.276807439,0.249760693,0.159406805,0.419817312,0.252653809,0.282783852
NMB253,0.301407734,0.22964825,0.290090184,0.589770525,0.323461001,0.652345609,0.682030289,0.642608559,0.806521289,0.299889695,0.221571474,0.202306095,0.149170493,0.317606366,0.311267345,0.482867806,0.221571474,0.345795584,0.421718033
NMB254,0.619655597,0.159406805,0.243624741,0.450578227,0,0.583550088,0.709278005,0.702609182,0.728919749,0.196625091,0.159406805,0.243624741,0.123377047,0.263244202,0.347462138,0.236954582,0.19048914,0.196625091,0.371347966
NMB272,0.280843027,0.084217936,0.4802884,0.594938191,0.545032475,0.377158206,0.572393417,0.416205324,0.748365053,0.360331629,0.240362187,0.149170493,0.084217936,0.335919453,0.489479228,0.700223209,0.137353538,0.377715725,0.38562567
NMB347,0.249760693,0.274707076,0.225716185,0.525847577,0.106271203,0.62101574,0.599993733,0.70233609,0.744425321,0.22964825,0.217189798,0.137353538,0.123377047,0.282783852,0.321172519,0.137353538,0.278851786,0.137353538,0.183818981
NMB423,0.168435872,0.492396279,0.484952934,0.583625838,0,0.636076984,0.655314773,0.649047453,0.794677457,0.19048914,0.123377047,0.258131743,0.123377047,0.291812919,0.429449853,0.263244202,0.295146421,0.19048914,0.246754093
NMB434,0.309934121,0.290090184,0.508600836,0.412414695,0.22964825,0.612259303,0.623575831,0.625463246,0.768174367,0.217189798,0.207594983,0.053135602,0.123377047,0.260730584,0.291812919,0.084217936,0.354543336,0.278851786,0.255441697
NMB435,0.603314873,0.123377047,0.355291229,0.634864283,0.053135602,0.616934278,0.669848927,0.649401386,0.726849876,0.137353538,0.207594983,0,0.053135602,0.313866186,0.240362187,0.159406805,0.286524031,0.123377047,0.258131743
NMB447,0.37013114,0.19048914,0.635077412,0.463036679,0.376030855,0.455565902,0.503391056,0.514137799,0.675624703,0.240362187,0.225716185,0.137353538,0.123377047,0.317606366,0.466253591,0.554339392,0.280843027,0.377158206,0.430851326
NMB59,0.393702446,0,0.313866186,0.517529104,0.137353538,0.604275117,0.545966208,0.722342618,0.664411502,0.523312506,0.349093231,0.176512648,0.243624741,0.246754093,0.233388429,0.308577298,0.386621249,0.338741556,0.379364357
NMB730,0.349895945,0.202306095,0.51779761,0.560671368,0,0.672018365,0.669020847,0.668834224,0.713551808,0.221571474,0.27254754,0.106271203,0.137353538,0.315133297,0.212542407,0.123377047,0.084217936,0.276807439,0.392795235
NMB732,0.27254754,0.388574436,0.28467675,0.606694464,0.30578941,0.621571574,0.608985419,0.665888388,0.740634242,0.428596503,0.343225786,0.533714926,0.183818981,0.374886678,0.5077907,0.40500231,0.364402947,0.240362187,0.42888201
NMB763,0.343225786,0.212542407,0.435954825,0.480579324,0.22964825,0.493997237,0.555495484,0.544655774,0.551399326,0.345795584,0.243624741,0.149170493,0.106271203,0.270325399,0.243624741,0.137353538,0.053135602,0.168435872,0.225716185
NMB789,0.260730584,0.053135602,0.520604641,0.535579489,0.084217936,0.646606364,0.605990783,0.650040743,0.720110086,0.299889695,0.149170493,0.233388429,0.106271203,0.328900053,0.359631547,0.106271203,0.395485281,0.263244202,0.3043565
NMB79,0.196625091,0.176512648,0.19048914,0.539380372,0.106271203,0.54117948,0.388090785,0.634045024,0.707561116,0.27254754,0.176512648,0.22964825,0.19048914,0.288327843,0.392795235,0.328900053,0,0.225716185,0.233388429
NMB790,0.274707076,0.415189965,0.482867806,0.598511768,0.106271203,0.636191486,0.633691215,0.623147507,0.790691537,0.372545779,0.246754093,0.123377047,0.321172519,0.352254853,0.321172519,0.324580123,0.183818981,0.282783852,0.351476588
NMB791,0.260730584,0.053135602,0.520604641,0.535579489,0.084217936,0.646606364,0.605990783,0.650040743,0.720110086,0.299889695,0.149170493,0.233388429,0.106271203,0.328900053,0.359631547,0.106271203,0.395485281,0.263244202,0.3043565
NMB798,0.123377047,0.123377047,0.149170493,0.52272828,0.053135602,0.638760446,0.637720741,0.672767535,0.81674158,0.236954582,0.263244202,0.149170493,0.225716185,0.233388429,0.240362187,0.168435872,0.137353538,0.307196027,0.221571474
NMB803,0.263244202,0.384616991,0.298340986,0.598977967,0.268036917,0.620899432,0.605849268,0.650548417,0.735338728,0.408426831,0.149170493,0.299889695,0.159406805,0.315133297,0.207594983,0.159406805,0.183818981,0.207594983,0.398931186
NMB806,0.312577778,0.19048914,0.384616991,0.490633938,0.106271203,0.576779963,0.653373568,0.65375363,0.700082468,0.159406805,0.240362187,0.202306095,0.207594983,0.240362187,0.27254754,0.302896295,0.053135602,0.19048914,0.225716185
NMB866,0.451855898,0.28467675,0.137353538,0.542808493,0,0.56082443,0.587140352,0.618535431,0.658615705,0.322325299,0.233388429,0,0.263244202,0.276807439,0.312577778,0.159406805,0.084217936,0.243624741,0.176512648
NMB874,0.168435872,0.432771317,0.274707076,0.551110593,0.249760693,0.62590067,0.60769655,0.578458534,0.73683081,0.236954582,0.202306095,0.053135602,0.123377047,0.286524031,0.260730584,0.149170493,0.308577298,0.236954582,0.265678009
NMB904,0.263244202,0.084217936,0.34234968,0.4623031,0.123377047,0.61597218,0.672435474,0.679188783,0.814380919,0.243624741,0.274707076,0.311267345,0.344091993,0.207594983,0.393702446,0.282783852,0.387114231,0.176512648,0.311267345
NMB420,0.450792656,0.249760693,0.296760343,0.594282146,0.084217936,0,0.406160898,0.280843027,0.307196027,0.781813206,0.719211459,0.663602259,0.482302059,0.735979527,0.4756319,0.270325399,0.610892244,0.307196027,0.533131969
